id,name,size,city,employee_count
2251,Victoriaâ€™s Secret & Co.,7,Columbus,23702
2252,Bath & Body Works,7,Columbus,24409
2271,Starbucks,7,Seattle,125476
2272,Delta Air Lines,7,Atlanta,70629
2276,Genentech,7,South San Francisco,20530
2279,Flex,7,Austin,45910
2300,Macy's,7,New York,73818
2305,Insight,7,Chandler,15765
2307,Kelly,7,Troy,9644
2311,Marriott International,7,Bethesda,217029
2319,CBRE,7,Dallas,70663
2327,Randstad,7,Diemen,62817
2329,Schneider Electric,7,Rueil Malmaison,81699
2336,McAfee,6,San Jose,5671
2340,Nationwide,7,0,30782
2380,United Airlines,7,Chicago,62753
2381,State Farm,7,Bloomington,109171
2423,Mercer,7,New York,24662
2432,Grant Thornton LLP (US),6,Chicago,13732
2445,Northwestern Mutual,6,Milwaukee,34885
2449,Hilton,7,McLean,121648
2457,Synopsys Inc,7,Sunnyvale,18177
2459,Zurich North America,7,Schaumburg,8916
2465,Digitas North America,5,Boston,2555
2467,The Hartford,7,Hartford,19604
2474,UCLA Health,7,Los Angeles,14223
2476,Children's Hospital Los Angeles (CHLA),5,Los Angeles,5944
2477,UCLA,7,Los Angeles,27219
2483,Wolters Kluwer,7,Alphen aan den Rijn,21986
2494,Bloomberg,7,New York,26039
2516,University of Michigan,7,Ann Arbor,33846
2519,"University of California, Berkeley, Haas School of Business",3,Berkeley,1670
2528,Ubisoft,7,Saint-MandÃ©,22893
2532,U.S. Bank,7,Minneapolis,75663
2534,Experian,7,Costa Mesa,16829
2539,iHeartMedia,6,New York,12510
2562,Dow,7,Midland,43847
2576,Ingram Micro,7,Irvine,26990
2582,UW Medicine,7,Seattle,3484
2584,University of Washington,7,Seattle,28478
2593,Momentum Worldwide,5,New York,1561
2609,Panasonic Automotive North America,5,Peachtree City,2729
2612,Panasonic Avionics Corporation,6,Irvine,3468
2622,Caterpillar Inc.,7,Irving,49587
2623,Columbia University Irving Medical Center,7,New York,6769
2633,BASF,7,Ludwigshafen,61700
2645,Liberty Global,7,London,3773
2646,Walmart,7,Bentonville,414726
2648,University of Illinois System,7,"Urbana-Champaign, Chicago, and Springfield",2282
2649,University of Illinois Chicago,7,Chicago,15768
2650,University of Illinois Urbana-Champaign,7,Champaign,20417
2651,Caltrans,7,Sacramento,10826
2652,County of San Diego,7,San Diego,7815
2654,CalPERS,5,Sacramento,1967
2660,California Public Utilities Commission,5,San Francisco,1246
2662,Judicial Council of California,4,San Francisco,798
2666,California Department of Justice,5,Sacramento,2798
2669,Valeo,7,Paris,37561
2677,McDonald's,7,Chicago,538566
2678,Cargill,7,Wayzata,73842
2690,John Hancock,7,Boston,5257
2701,Liberty Mutual Insurance,7,Boston,41040
2709,OpenText,7,Waterloo,19900
2722,KLA,7,Milpitas,13621
2723,BOMBARDIER,7,MontrÃ©al,29155
2730,RR Donnelley,7,Chicago,30706
2734,Airbus,7,Blagnac Cedex,74236
2739,Acxiom,5,Conway,4449
2743,IKEA,7,Delft,82733
2748,Colgate-Palmolive,7,New York,27231
2750,Egencia,5,Seattle,2917
2751,Expedia Group,7,Seattle,22255
2753,Emerson,7,St. Louis,46027
2775,TD,7,Toronto,96563
2776,Andersen Corporation,6,Bayport,4655
2786,Federal Reserve Bank of San Francisco,5,San Francisco,1841
2787,Federal Reserve Bank of Chicago,5,Chicago,1653
2819,Publicis,5,New York,43186
2842,"University of California, Davis",7,Davis,3384
2859,BDO USA,7,Chicago,18705
2868,Seagate Technology,7,Fremont,10883
2875,MATRIX Resources,,Atlanta,16224
2880,Quest Software,5,Aliso Viejo,1056
2882,ITT Inc.,7,Stamford,3796
2889,Aerotek,5,Hanover,8731
2895,Brigham and Women's Hospital,7,0,19358
2896,Massachusetts General Hospital,7,Boston,14821
2898,Mass General Brigham - Salem Hospital,5,Salem,19213
2899,Spaulding Rehabilitation Hospital,5,Boston,1283
2911,Albertsons Companies,7,Boise,2113
2913,Shaw's Supermarkets,7,0,88949
2915,Acme Markets,7,Malvern,3962
2918,The Save Mart Companies,7,Modesto,4039
2931,Teradyne,6,North Reading,1780
2933,McGraw Hill,5,New York,4840
2934,S&P Global,7,New York,6407
2958,Texas Workforce Commission,5,Austin,36537
2962,British Airways,7,Middlesex,3157
2981,Saint-Gobain,7,Courbevoie,26984
2982,Saint-Gobain Performance Plastics,6,Solon,41921
2985,Saint-Gobain Abrasives,7,Worcester,2112
2986,CertainTeed,6,Malvern,3921
2988,VMware,7,Palo Alto,3265
2995,FEMA,7,Washington,34656
2997,U.S. Customs and Border Protection,7,Washington,17556
3007,Universal Music Group,6,Santa Monica,8738
3015,Mastercard,7,Purchase,11971
3027,Elsevier,6,Amsterdam,33391
3028,"University of California, San Francisco",7,San Francisco,11169
3029,UCSF Health,6,San Francisco,19496
3032,"Ameriprise Financial Services, LLC",6,Minneapolis,9871
3033,Avanade,7,Seattle,17465
3047,Alcoa,7,Pittsburgh,19034
3067,Tech Mahindra,7,Pune,15171
3072,Broadcom,7,San Jose,156740
3076,Kforce Inc,5,Tampa,24623
3084,University of Southern California,7,Los Angeles,3771
3088,Travelers,7,New York,22279
3090,Check Point Software Technologies Ltd,6,San Carlos,40644
3102,BD,7,Franklin Lakes,7400
3117,Lionbridge,6,Waltham,43343
3123,Linde,7,Woking,4706
3128,FIS,7,Jacksonville,37302
3135,Hyatt Regency,7,Chicago,47151
3137,Levi Strauss & Co.,7,San Francisco,14484
3140,Freddie Mac,6,McLean,15177
3162,The University of Texas at Austin,7,Austin,10358
3163,"Penn Medicine, University of Pennsylvania Health System",7,Philadelphia,23705
3165,University of Pennsylvania,7,Philadelphia,18371
3169,Ceridian,6,Minneapolis,20198
3175,Ingersoll Rand,7,Davidson,8934
3178,JLL,7,Chicago,13790
3184,Vanguard,7,Valley Forge,81674
3185,Salesforce,7,San Francisco,24127
3196,Northwestern University,6,Evanston,70180
3214,"Mattel, Inc.",7,El Segundo,15378
3222,AkzoNobel,7,Amsterdam,10641
3235,Boehringer Ingelheim,7,Ingelheim am Rhein,29350
3240,Farmers Insurance,7,Woodland Hills,41341
3242,International Paper,7,Memphis,53065
3246,CNA Insurance,6,Chicago,23620
3252,KeyBank,7,Cleveland ,6649
3256,Aegon,7,The Hague,17234
3260,Danfoss,7,Nordborg,41977
3264,Progressive Insurance,7,Mayfield Village,20790
3269,DHL Supply Chain,7,Bonn,36599
3304,Bechtel Corporation,7,Reston,58880
3321,Avery Dennison,7,Mentor,22857
3327,Indiana University Foundation,3,Bloomington,19638
3334,CDW,7,Vernon Hills,298
3335,Textron,7,Providence,14310
3337,Bell Flight,6,Fort Worth,24292
3339,Textron Systems,5,Haslet,7641
3342,Kaplan,7,Fort Lauderdale,2086
3364,Fiserv,7,Brookfield,10796
3379,Nordstrom,7,Seattle,34702
3384,UC San Diego Health,7,San Diego,42811
3392,Celestica,7,Toronto,27324
3398,FICO,5,Bozeman,13521
3400,Carat,6,London,3505
3407,Taco Bell,7,Irvine,2848
3409,Yum! Brands,5,Louisville,57178
3411,Georgia-Pacific LLC,7,Atlanta,6110
3432,New York Life Insurance Company,7,New York,16596
3439,Kimberly-Clark,7,Irving,36660
3450,Analog Devices,7,Wilmington,35010
3460,UPMC,7,Pittsburgh,22943
3469,Electrolux Group,7,Stockholm,36046
3476,Michael Page,6,Addlestone,28040
3486,Hays,6,London,10095
3493,Conagra Brands,7,Chicago,25362
3498,Safeway,7,0,7458
3524,Johns Hopkins Hospital,7,Baltimore,44222
3528,The Johns Hopkins University,7,Baltimore,12019
3532,FNBO,5,Omaha,15398
3534,Continental,7,Hanover,3917
3536,Edelman,6,New York,70170
3537,Macquarie Group,7,Sydney,6720
3538,CTG,5,Amherst,22000
3549,IHG Hotels & Resorts,7,Windsor,3604
3556,Boston University,6,Boston,17617
3557,Georgia Tech Research Institute,5,Atlanta,14157
3558,Georgia Institute of Technology,6,Atlanta,2940
3569,Hughes,5,Germantown,16831
3580,Computacenter,7,Hatfield,2884
3589,Walgreens,7,Deerfield,16360
3600,ConocoPhillips,7,Houston,79930
3608,NVIDIA,7,Santa Clara,15735
3625,Cummins Inc.,7,Columbus,27390
3626,HCA Healthcare,7,Nashville,42462
3631,MassMutual,6,Springfield,128743
